From	To	Species	Gene Name
DEFA15	Q70LV1	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU8	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU7	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU6	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU5	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU4	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q499K8	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q70LU3	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P28309	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P50715	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P11477	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q68VH1	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q61448	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q62537	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q64109	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P82293	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P82294	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q059S0	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P50710	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q64016	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P28310	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	Q60616	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P50713	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P50712	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
DEFA15	P50711	Mus musculus	defensin, alpha, 15; defensin related cryptdin 12; hypothetical protein LOC100044287; defensin, alpha, 17; defensin, alpha 1; defensin, alpha, related sequence 7; defensin, alpha, 2; defensin, alpha, 3; defensin, alpha, 10; defensin related cryptdin 6; defensin, alpha, 24; defensin, alpha, 11; defensin, alpha, 25; defensin, alpha, 13; defensin, alpha, 23; defensin, alpha, 14; similar to Defensin-related cryptdin 7; predicted gene 15299; defensin, alpha, 9; defensin, alpha, 8; predicted gene 6696; defensin, alpha, 7
ACSL6	Q2TA22	Bos taurus	acyl-CoA synthetase long-chain family member 6
ACSL6	O95829	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q9UKU0	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q108M9	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	O94924	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q108N0	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q4G191	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q86TN7	Homo sapiens	acyl-CoA synthetase long-chain family member 6
ACSL6	Q6IU14	Rattus norvegicus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q63835	Rattus norvegicus	acyl-CoA synthetase long-chain family member 6
ACSL6	P33124	Rattus norvegicus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q5ICG5	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q5ICG6	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q8R1X1	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q8BYJ0	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q5ICG4	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q91WC3	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q8C028	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	A8IP90	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q80ZF1	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q5F2D0	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	A6PW74	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q80TQ7	Mus musculus	acyl-CoA synthetase long-chain family member 6
ACSL6	Q0V9T3	Xenopus (Silurana) tropicalis	hypothetical protein MGC146229
ACSL6	A9CB21	Papio anubis	acyl-CoA synthetase long-chain family member 6
VMN1R171	Q9EPS6	Mus musculus	predicted gene 4232; vomeronasal 1 receptor, D7; predicted gene 5998; predicted gene 5999; predicted gene 6279; predicted gene 6299
H2-Q10	Q31214	Mus musculus	histocompatibility 2, Q region locus 10
H2-Q10	P01898	Mus musculus	histocompatibility 2, Q region locus 10
H2-Q10	Q95HC3	Mus musculus	histocompatibility 2, Q region locus 10
H2-Q10	Q8HWL1	Mus musculus	histocompatibility 2, Q region locus 10
H2-Q10	O19475	Mus musculus	histocompatibility 2, Q region locus 10
H2-Q10	O19454	Mus musculus	histocompatibility 2, Q region locus 10
LYZ2	P11941	Oncorhynchus mykiss	lysozyme II
LYZ2	Q9DDK3	Oncorhynchus mykiss	lysozyme II
LYZ2	P83333	Oncorhynchus mykiss	lysozyme II
LYZ2	P08905	Mus musculus	lysozyme 2
LYZ2	Q3U690	Mus musculus	lysozyme 2
LYZ2	Q3TXG2	Mus musculus	lysozyme 2
LYZ2	Q8VE78	Mus musculus	lysozyme 2
LYZ2	Q3U5Q2	Mus musculus	lysozyme 2
LYZ2	P04421	Bos taurus	lysozyme C-2
LYZ2	Q7JFR6	Bos taurus	lysozyme C-2
LYZ2	Q06284	Bos taurus	lysozyme C-2
LYZ2	Q06283	Bos taurus	lysozyme C-2
LYZ2	Q27997	Bos taurus	lysozyme C-2
LYZ2	Q27998	Bos taurus	lysozyme C-2
LYZ2	Q6PDV1	Rattus norvegicus	lysozyme 2; lysozyme C type 2
LYZ2	Q05820	Rattus norvegicus	lysozyme 2; lysozyme C type 2
LYZ2	P00697	Rattus norvegicus	lysozyme 2; lysozyme C type 2
LYZ2	B2RYD4	Rattus norvegicus	lysozyme 2; lysozyme C type 2
ABCC9	Q5RH87	Danio rerio	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q2HX28	Danio rerio	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	B3DJS1	Danio rerio	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q9QWP5	Rattus norvegicus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q63563	Rattus norvegicus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q9JJ67	Rattus norvegicus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	O89115	Rattus norvegicus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q9QWX3	Rattus norvegicus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q8C797	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	O08920	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	O08902	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q504N3	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	P70171	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	P70170	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	A6NFG0	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	O60707	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	O60706	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q8N9N1	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9	Q8N4N7	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
COG7	A2VDR8	Bos taurus	component of oligomeric golgi complex 7
COG7	Q3TR20	Mus musculus	component of oligomeric golgi complex 7
COG7	Q3U3L7	Mus musculus	component of oligomeric golgi complex 7
COG7	Q3UM29	Mus musculus	component of oligomeric golgi complex 7
COG7	Q5RES0	Pongo abelii	component of oligomeric golgi complex 7
COG7	Q6ZNT4	Homo sapiens	component of oligomeric golgi complex 7
COG7	P83436	Homo sapiens	component of oligomeric golgi complex 7
COG7	Q6UWU7	Homo sapiens	component of oligomeric golgi complex 7
COG7	Q08BK1	Danio rerio	component of oligomeric golgi complex 7
COG7	Q3T1G7	Rattus norvegicus	component of oligomeric golgi complex 7
COG7	Q8SZV9	Drosophila melanogaster	Conserved oligomeric Golgi complex subunit 7
COG7	Q9VAD6	Drosophila melanogaster	Conserved oligomeric Golgi complex subunit 7
COG7	P53195	Saccharomyces cerevisiae	Conserved oligomeric Golgi complex subunit 7
COG7	Q6B1E9	Saccharomyces cerevisiae	Conserved oligomeric Golgi complex subunit 7
COG7	Q5ZHR3	Gallus gallus	component of oligomeric golgi complex 7
COG7	A8I8P0	Chlamydomonas reinhardtii	CHLREDRAFT_141439
COG7	Q5FW35	Xenopus (Silurana) tropicalis	MGC107838 protein
COG7	Q6GNU8	Xenopus laevis	MGC80865 protein
AP2A1	P17426	Mus musculus	adaptor protein complex AP-2, alpha 1 subunit
AP2A1	Q0IHS1	Xenopus (Silurana) tropicalis	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	A8ILF4	Chlamydomonas reinhardtii	CHLREDRAFT_195447
AP2A1	Q96CI7	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	Q8N9K4	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	Q96PP6	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	Q96PP7	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	Q9H070	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
AP2A1	O95782	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
ABCC1	Q9JHS0	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q8CG09	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q810G8	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q63346	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q810G9	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q810E4	Rattus norvegicus	similar to ATP-binding cassette, sub-family C (CFTR/MRP), member 1; ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q8C7V6	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q3UDM1	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	A5D6P3	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q8BRD0	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	O35379	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9JL41	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9UQ97	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9UQ98	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9UQ99	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	P78419	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9UQA0	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	C9JPJ4	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q68CP7	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	O43333	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9BV39	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	P33527	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	A3RJX2	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	O14819	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q59GI9	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q5F364	Gallus gallus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q9I8K5	Gallus gallus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	B1H398	Xenopus (Silurana) tropicalis	hypothetical protein LOC100145582
ABCC1	B3DQ46	Bifidobacterium longum	BLD_0099
ABCC1	Q8HXQ5	Bos taurus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q0NXS1	Equus caballus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1	Q6UR05	Canis lupus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
GM11627	A6PWP4	Mus musculus	predicted gene 11627
ATP5A1	P08428	Xenopus laevis	An2
ATP5A1	Q68EY5	Xenopus laevis	An2
ATP5A1	Q03265	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3TPR0	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3TPV3	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q543Y6	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3UIR7	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3TFN0	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3TZU3	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q3THN8	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1
ATP5A1	Q5BKH9	Xenopus (Silurana) tropicalis	atp5a1 protein
ATP5A1	Q1JQC4	Bos taurus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	P05629	Bos taurus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	P19483	Bos taurus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	P19482	Bos taurus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	Q90VX2	Gallus gallus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to mitochondrial ATP synthase alpha subunit
ATP5A1	Q90ZX4	Gallus gallus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to mitochondrial ATP synthase alpha subunit
ATP5A1	Q8UVX3	Gallus gallus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to mitochondrial ATP synthase alpha subunit
ATP5A1	Q9DDH7	Gallus gallus	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; similar to mitochondrial ATP synthase alpha subunit
ATP5A1	Q6EE37	Danio rerio	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	Q58P23	Danio rerio	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5A1	Q08BA1	Danio rerio	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
